"Data","R.lowerCI","R.medio","R.upperCI","Consolidato"
2020-02-04,2.75090007505333,3.18684776495693,3.65439015488888,"Si"
2020-02-05,2.25186504044268,2.59682458248848,2.96600794083635,"Si"
2020-02-06,1.83575901971856,2.11620897766346,2.41630271873025,"Si"
2020-02-07,1.49494443049778,1.7284676452578,1.97869005964708,"Si"
2020-02-08,1.1216001711857,1.31258101073164,1.51835568084534,"Si"
2020-02-09,0.898026450599514,1.06290249840782,1.24146885401178,"Si"
2020-02-10,1.0657859567065,1.24092175409084,1.42918458656786,"Si"
2020-02-11,1.0188541031351,1.18680374829664,1.36737844622032,"Si"
2020-02-12,1.1060826281168,1.27788840655427,1.46191555320025,"Si"
2020-02-13,1.18885945393776,1.36347351320966,1.54987746537335,"Si"
2020-02-14,1.38430871599254,1.56811698017991,1.76321680343094,"Si"
2020-02-15,1.96056610205966,2.17155678358051,2.39317492719196,"Si"
2020-02-16,2.07919314665153,2.28453137150803,2.49940024683902,"Si"
2020-02-17,2.12404950149698,2.31773358497495,2.51974764369341,"Si"
2020-02-18,2.31467420534586,2.5020856611467,2.69668861646293,"Si"
2020-02-19,2.21363393651292,2.38232221682603,2.5571165968755,"Si"
2020-02-20,2.78706069382659,2.96104590490909,3.14022440592478,"Si"
2020-02-21,2.81388946038662,2.97201640036659,3.1344049615707,"Si"
2020-02-22,2.69458601679353,2.83378839146913,2.9764471817478,"Si"
2020-02-23,2.7722365806178,2.89948215263608,3.02954284697233,"Si"
2020-02-24,2.83227192415153,2.94802564334951,3.06606519878704,"Si"
2020-02-25,2.89345928191145,2.99856726101535,3.10552422144626,"Si"
2020-02-26,2.76963181588233,2.8618553980234,2.95556829950952,"Si"
2020-02-27,2.51301576793447,2.59209361366454,2.672379363778,"Si"
2020-02-28,2.51497401341754,2.58682235752919,2.65966849456626,"Si"
2020-02-29,2.36459388777536,2.42807539152456,2.49238607462663,"Si"
2020-03-01,2.6397618891897,2.70122105287505,2.76337762541673,"Si"
2020-03-02,2.55158913165208,2.60662165205152,2.66223317070282,"Si"
2020-03-03,2.44002014538937,2.48908705350776,2.53863563060248,"Si"
2020-03-04,2.26873359294275,2.31204335958387,2.35575693300144,"Si"
2020-03-05,2.21171161744361,2.25111862862127,2.29086878638162,"Si"
2020-03-06,2.12937112871917,2.16515586785169,2.20123465963332,"Si"
2020-03-07,2.08671146088575,2.11963596387222,2.15281461082967,"Si"
2020-03-08,1.93904684446695,1.96863775413653,1.99844963952227,"Si"
2020-03-09,1.92484737022904,1.95249886075391,1.98034482081404,"Si"
2020-03-10,2.01297503395404,2.03956661872051,2.06633027629093,"Si"
2020-03-11,1.93223442335858,1.95669479540774,1.98130688941959,"Si"
2020-03-12,1.84187750124979,1.86434898050889,1.88695482430825,"Si"
2020-03-13,1.77341090594985,1.79423781775807,1.8151846303187,"Si"
2020-03-14,1.66517924039763,1.68431373479596,1.70355602693947,"Si"
2020-03-15,1.60850235866033,1.62642446377311,1.64444448836166,"Si"
2020-03-16,1.50892896578666,1.52553843924312,1.54223756987227,"Si"
2020-03-17,1.33233449077144,1.34734616089966,1.3624407645711,"Si"
2020-03-18,1.27341420632326,1.2876461196568,1.30195602717109,"Si"
2020-03-19,1.19183463325748,1.20526150451533,1.21876254426301,"Si"
2020-03-20,1.16897864725274,1.18201649175386,1.19512564049243,"Si"
2020-03-21,1.10274518994627,1.1152031437696,1.12773010523385,"Si"
2020-03-22,1.00924716223954,1.02102019616362,1.03286055533558,"Si"
2020-03-23,0.963186208525062,0.974607511316641,0.986095200299037,"Si"
2020-03-24,0.924148954509694,0.935305611508451,0.946528282523137,"Si"
2020-03-25,0.8914243784828,0.902390506301527,0.913422746391644,"Si"
2020-03-26,0.864423366416346,0.875263650904511,0.886170548984131,"Si"
2020-03-27,0.792926121932309,0.803376334603849,0.813894013501572,"Si"
2020-03-28,0.786294644077872,0.796810635442884,0.807395514495326,"Si"
2020-03-29,0.760625784863252,0.771102262284656,0.781649403847566,"Si"
2020-03-30,0.7558002787484,0.766401919571142,0.777076375843155,"Si"
2020-03-31,0.745500433793972,0.756204554261237,0.766983917785753,"Si"
2020-04-01,0.776482949022669,0.787600978237692,0.798796944639195,"Si"
2020-04-02,0.77674690415539,0.788058729288767,0.799451195005923,"Si"
2020-04-03,0.769515456084125,0.780966560598767,0.792501067050014,"Si"
2020-04-04,0.760096788636743,0.77167375025647,0.783336998395224,"Si"
2020-04-05,0.768625877184265,0.780472904093714,0.792409279403932,"Si"
2020-04-06,0.742416184475611,0.754264463567803,0.76620523964699,"Si"
2020-04-07,0.752783458055173,0.764934885687879,0.777182255434985,"Si"
2020-04-08,0.700411860377759,0.712352741721262,0.724393151522602,"Si"
2020-04-09,0.700288858559947,0.712476419294495,0.724767662967954,"Si"
2020-04-10,0.728441532841632,0.74114180561142,0.753950315332733,"Si"
2020-04-11,0.72517000101544,0.738111788883058,0.751166453265256,"Si"
2020-04-12,0.740373411159762,0.753727094860895,0.767198475471222,"Si"
2020-04-13,0.728740358417466,0.742261654653799,0.75590551555232,"Si"
2020-04-14,0.742303950118776,0.756232256793646,0.770288228207105,"Si"
