"Data","R.lowerCI","R.medio","R.upperCI","Consolidato"
2020-02-27,3.5981682446267,3.82410480944384,4.05682371170194,"Si"
2020-02-28,3.11872916691586,3.29903122926177,3.48432850742053,"Si"
2020-02-29,2.72974436349109,2.8775878479005,3.02927530630095,"Si"
2020-03-01,2.49058351632211,2.6166591885368,2.74580392091634,"Si"
2020-03-02,2.49296667759667,2.60706158426034,2.7236735098223,"Si"
2020-03-03,2.43503933910562,2.53754057592274,2.64212535335626,"Si"
2020-03-04,2.42982501577437,2.52325992829428,2.61843291395401,"Si"
2020-03-05,2.44380162114487,2.52946527069268,2.61658396922505,"Si"
2020-03-06,2.40733195669971,2.48510743448072,2.56410214716329,"Si"
2020-03-07,2.29259738251437,2.362150587495,2.43272865781098,"Si"
2020-03-08,2.14206657931187,2.20395402863282,2.26671052470384,"Si"
2020-03-09,2.01838188122404,2.07404133569276,2.1304472874105,"Si"
2020-03-10,1.90934780080606,1.95982887749418,2.01095944135275,"Si"
2020-03-11,1.81343693326101,1.85959227993586,1.90631956937187,"Si"
2020-03-12,1.71090387021851,1.75320091894763,1.79600725493187,"Si"
2020-03-13,1.66219539053287,1.70175137478107,1.74176603925914,"Si"
2020-03-14,1.59344725576766,1.63034193340706,1.66765299723657,"Si"
2020-03-15,1.52074712534541,1.55522374617833,1.59008143570712,"Si"
2020-03-16,1.50052494294436,1.53341958916758,1.56666594146372,"Si"
2020-03-17,1.47175870470937,1.50312986373142,1.53482725605812,"Si"
2020-03-18,1.43011475812495,1.4599588355136,1.49010682353472,"Si"
2020-03-19,1.37726216945199,1.40559664362772,1.43421561502874,"Si"
2020-03-20,1.30038193100715,1.32709853523859,1.35408303283076,"Si"
2020-03-21,1.2352978137788,1.26066764559748,1.28629177108564,"Si"
2020-03-22,1.18017941042421,1.20443824523769,1.22894044612606,"Si"
2020-03-23,1.11939722281357,1.1425997090491,1.16603689670215,"Si"
2020-03-24,1.06207748818701,1.0843622020945,1.10687507298198,"Si"
2020-03-25,1.00109041543058,1.02250901120271,1.04415116754249,"Si"
2020-03-26,0.949166112887709,0.96989868281831,0.99085213143327,"Si"
2020-03-27,0.911417177585911,0.931692663557653,0.952188101557827,"Si"
2020-03-28,0.873879952684491,0.893760973498182,0.913862499757661,"Si"
2020-03-29,0.839535363689106,0.859110020988786,0.878907122406869,"Si"
2020-03-30,0.794493405921881,0.813678759192069,0.833089817577105,"Si"
2020-03-31,0.75317147693538,0.772052713711367,0.791164444958925,"Si"
2020-04-01,0.727487358024455,0.74630452731891,0.765358618352766,"Si"
2020-04-02,0.710740210530124,0.729651559541892,0.748807756318802,"Si"
2020-04-03,0.676213469470457,0.695010965933391,0.714062572623678,"Si"
2020-04-04,0.655938154155639,0.67485099897155,0.694028897728353,"Si"
2020-04-05,0.641047771788212,0.660189017611818,0.679607923287301,"Si"
2020-04-06,0.623376608824416,0.642735904068306,0.662387099914708,"Si"
2020-04-07,0.602366834117865,0.621918919284983,0.641778919382746,"Si"
2020-04-08,0.589940085475246,0.609854943776782,0.63009576945038,"Si"
2020-04-09,0.57698246367938,0.597283740313829,0.617931120715093,"Si"
2020-04-10,0.575111258504502,0.596030782087987,0.617318790696913,"Si"
2020-04-11,0.587866696094425,0.609712694366987,0.631951667829611,"Si"
2020-04-12,0.612355989097287,0.63538336597313,0.658829816773387,"Si"
2020-04-13,0.602308253063162,0.625878057532882,0.649893901283932,"Si"
2020-04-14,0.624208498399663,0.648963333876474,0.674192802916267,"Si"
2020-04-15,0.625588406495108,0.651134388994563,0.677184421945529,"Si"
2020-04-16,0.629253676934558,0.655647420975352,0.682575800538349,"Si"
2020-04-17,0.630112459779873,0.657307238129571,0.68506848610155,"Si"
2020-04-18,0.630254476616969,0.658248473202393,0.68684222006348,"Si"
2020-04-19,0.61843726366776,0.646975185372772,0.676147764383143,"Si"
2020-04-20,0.642325391252163,0.672255592658487,0.702857777915088,"Si"
2020-04-21,0.629839241003362,0.660323323030679,0.691517685167466,"Si"
2020-04-22,0.627083502950535,0.658367960170972,0.690403227928314,"Si"
2020-04-23,0.615530595297781,0.647414311885732,0.680091778410396,"Si"
2020-04-24,0.60854377491828,0.641169159532949,0.674634454315277,"Si"
2020-04-25,0.614822378570904,0.648582519706674,0.683232269603457,"Si"
2020-04-26,0.642452676149428,0.677971738283364,0.714433000040069,"Si"
2020-04-27,0.645120002414931,0.681720590315412,0.71931679557536,"Si"
2020-04-28,0.654276900508857,0.692149788226898,0.731073211085422,"Si"
2020-04-29,0.650623659815015,0.689402475128952,0.729287951091715,"Si"
2020-04-30,0.644895883996664,0.684525413438984,0.725319917475089,"Si"
2020-05-01,0.62922951408964,0.669415080169167,0.71082694094554,"Si"
2020-05-02,0.623419339578385,0.664500966584429,0.706874867855403,"Si"
2020-05-03,0.612993586321527,0.654855321032214,0.698080130726575,"Si"
2020-05-04,0.605513131764367,0.64829454437256,0.692515540346021,"Si"
2020-05-05,0.588276768431044,0.631670565158353,0.676586585498283,"Si"
2020-05-06,0.596183783001572,0.641167463315158,0.687763960719842,"Si"
2020-05-07,0.599698896321519,0.646168500568026,0.694347487235351,"Si"
2020-05-08,0.638296436142802,0.687647684851188,0.738810456129989,"Si"
2020-05-09,0.654761530377239,0.706146750431648,0.759445447281007,"Si"
2020-05-10,0.687415534829546,0.741445265271795,0.797489886915684,"Si"
2020-05-11,0.700235013544098,0.756083411966796,0.814044054177672,"Si"
2020-05-12,0.690029817226201,0.746725615503428,0.805627916077517,"Si"
2020-05-13,0.674394586626406,0.731683482095202,0.791274481691919,"Si"
2020-05-14,0.668575457645993,0.72688103731275,0.787589343226529,"Si"
2020-05-15,0.628329041864352,0.686153283119763,0.746486411754044,"Si"
2020-05-16,0.63575288937853,0.695312793022947,0.757501331305112,"Si"
2020-05-17,0.641721705559024,0.703029050994503,0.767093236335241,"Si"
2020-05-18,0.598759207907262,0.659490028879499,0.723112210375338,"Si"
2020-05-19,0.613342149332608,0.676420764747043,0.742542441479722,"Si"
2020-05-20,0.612015434383911,0.676715722803784,0.744620201089991,"Si"
2020-05-21,0.583724623244084,0.648657671937814,0.716965756601404,"Si"
2020-05-22,0.575340618003617,0.641644088215011,0.71151123473304,"Si"
2020-05-23,0.574717384195909,0.64292820980516,0.714908791714323,"Si"
2020-05-24,0.580657301202599,0.651254830086473,0.725843907401946,"Si"
2020-05-25,0.604255770705073,0.678378320227172,0.756727026833466,"Si"
2020-05-26,0.605086140894621,0.681388343177031,0.762155723398579,"Si"
2020-05-27,0.586981678498701,0.664278469305914,0.74628689794624,"Si"
2020-05-28,0.614838547017279,0.696138161045612,0.782412644288485,"Si"
2020-05-29,0.665954290889109,0.752763512909987,0.844813863312189,"Si"
2020-05-30,0.689541546526875,0.779973281615783,0.875896141368733,"Si"
2020-05-31,0.676258804993402,0.767785553657416,0.86503674487549,"Si"
2020-06-01,0.674261538628274,0.767556606699302,0.866808879358881,"Si"
2020-06-02,0.630546870786689,0.722693789118456,0.821033272999852,"Si"
2020-06-03,0.635046132113377,0.72951969261199,0.830448712770766,"Si"
2020-06-04,0.622763448327032,0.718425829970621,0.820823028515714,"Si"
2020-06-05,0.616042871552902,0.713386127984207,0.817765137215383,"Si"
2020-06-06,0.601021715985943,0.699477437475751,0.805291458417048,"Si"
2020-06-07,0.629666982624247,0.732815197445207,0.843672415268272,"Si"
2020-06-08,0.638856840238574,0.745174701324576,0.859555463414576,"Si"
2020-06-09,0.683531266747971,0.795852875684313,0.916593378554357,"Si"
2020-06-10,0.697447740989505,0.813146191437343,0.937593034330281,"Si"
2020-06-11,0.713170523583805,0.832237490579664,0.96036112190587,"Si"
2020-06-12,0.662790648564265,0.779614274304138,0.905780649009932,"Si"
2020-06-13,0.727611108166233,0.851921692951444,0.98589158303578,"Si"
2020-06-14,0.739056603580069,0.866180897502364,1.00324516127921,"Si"
2020-06-15,0.792877119087597,0.926112597798067,1.06954345827852,"Si"
2020-06-16,0.777692624922768,0.911008879437871,1.05471658215707,"Si"
2020-06-17,0.755006585238628,0.887611642329547,1.03078679950112,"Si"
2020-06-18,0.794654174892499,0.931810001979205,1.07972410725427,"Si"
2020-06-19,0.822189563653238,0.962658647089332,1.11404259963607,"Si"
2020-06-20,0.734279909946147,0.868064673678724,1.01288020666787,"Si"
